"","Segment_number","HubDist2","Presence","Year","Seg.2","HubDist2.2","Presence.2","Year.2","Change"
"225","189",11.3533565161908,1,"2007","189",11.3533565161908,0,"2018",1
"226","193",11.4444862226127,1,"2007","193",11.4444862226127,0,"2018",1
"227","203",11.5706585488066,1,"2007","203",11.5706585488066,0,"2018",1
"228","207",11.8042897648768,1,"2007","207",11.8042897648768,0,"2018",1
"229","208",11.8320895069503,1,"2007","208",11.8320895069503,0,"2018",1
"230","209",11.8603367239033,1,"2007","209",11.8603367239033,0,"2018",1
"231","210",11.8911066298207,1,"2007","210",11.8911066298207,0,"2018",1
"232","211",11.9205520666064,1,"2007","211",11.9205520666064,0,"2018",1
"233","212",11.948469206595,1,"2007","212",11.948469206595,0,"2018",1
"234","213",11.9747106877273,1,"2007","213",11.9747106877273,0,"2018",1
"235","214",12.0027774782605,1,"2007","214",12.0027774782605,1,"2018",0
"236","218",12.1037676831774,1,"2007","218",12.1037676831774,1,"2018",0
"237","217",12.0949998302204,1,"2007","217",12.0949998302204,0,"2018",1
"238","215",12.0624648183376,1,"2007","215",12.0624648183376,0,"2018",1
"239","219",12.1594788853171,1,"2007","219",12.1594788853171,0,"2018",1
"240","216",12.0898273183133,1,"2007","216",12.0898273183133,0,"2018",1
"241","220",12.1889987666529,1,"2007","220",12.1889987666529,0,"2018",1
"242","221",12.217706997472,1,"2007","221",12.217706997472,0,"2018",1
"243","222",12.2428515978505,1,"2007","222",12.2428515978505,0,"2018",1
"244","223",12.3262011672033,1,"2007","223",12.3262011672033,0,"2018",1
"245","225",12.3590408103839,1,"2007","225",12.3590408103839,0,"2018",1
"246","224",12.3484038196576,1,"2007","224",12.3484038196576,0,"2018",1
"247","226",12.3886152119378,1,"2007","226",12.3886152119378,0,"2018",1
"248","228",12.4469028397558,1,"2007","228",12.4469028397558,0,"2018",1
"249","227",12.4108741662291,1,"2007","227",12.4108741662291,0,"2018",1
"250","237",12.6995685107322,1,"2007","237",12.6995685107322,0,"2018",1
"251","239",12.7582169328173,1,"2007","239",12.7582169328173,0,"2018",1
"252","240",12.788072361496,1,"2007","240",12.788072361496,0,"2018",1
"253","241",12.8182297513396,1,"2007","241",12.8182297513396,0,"2018",1
"254","242",12.8484501576522,1,"2007","242",12.8484501576522,0,"2018",1
"255","243",12.8778479757894,1,"2007","243",12.8778479757894,0,"2018",1
"256","244",12.9078996268761,1,"2007","244",12.9078996268761,0,"2018",1
"257","245",12.9163399107993,1,"2007","245",12.9163399107993,0,"2018",1
"258","249",13.0912914981297,1,"2007","249",13.0912914981297,0,"2018",1
"259","262",13.4626269365827,1,"2007","262",13.4626269365827,0,"2018",1
"260","268",13.5463878209602,1,"2007","268",13.5463878209602,0,"2018",1
"261","269",13.5749845829949,1,"2007","269",13.5749845829949,0,"2018",1
"262","270",13.6040185722943,1,"2007","270",13.6040185722943,0,"2018",1
"263","271",13.6337171580555,1,"2007","271",13.6337171580555,0,"2018",1
"264","273",13.6125648233645,1,"2007","273",13.6125648233645,0,"2018",1
"265","272",13.6358731439558,1,"2007","272",13.6358731439558,0,"2018",1
"266","288",13.9601314038833,1,"2007","288",13.9601314038833,0,"2018",1
"267","277",13.6948882843502,1,"2007","277",13.6948882843502,0,"2018",1
"268","289",13.9900342098289,1,"2007","289",13.9900342098289,0,"2018",1
"269","279",13.7424956631899,1,"2007","279",13.7424956631899,0,"2018",1
"270","281",13.8213017270832,1,"2007","281",13.8213017270832,0,"2018",1
"271","278",13.723333022822,1,"2007","278",13.723333022822,0,"2018",1
